dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.8666666666666667	45398	last+night_20245535.html	45397	last+night_20059187.html
0.8933333333333333	4003	amazing+grace_20268854.html	3984	amazing+grace_20032073.html
1.0	35404	i+cant+stand+it_20143911.html	35402	i+cant+stand+it_20085167.html
0.8866666666666667	67086	shout+to+the+lord_20694968.html	67085	shout+to+the+lord_20608991.html
0.86	67086	shout+to+the+lord_20694968.html	67084	shout+to+the+lord_20599749.html
1.0	54150	my+girl_20087283.html	54147	my+girl_20005076.html
0.86	70413	stay+with+me_21088932.html	70412	stay+with+me_21081989.html
0.9366666666666666	4003	amazing+grace_20268854.html	3986	amazing+grace_20048418.html
0.9466666666666667	7738	beauty+the+beast_20163462.html	7726	beauty+of+the+beast_20482930.html
0.9766666666666667	84361	yesterday+when+i+was+young_21028002.html	19901	dont+change+on+me_20183981.html
0.9466666666666667	5205	april+comes+she+will_20559757.html	5204	april+come+she+will+colin+linden_10220499.html
0.8733333333333333	67086	shout+to+the+lord_20694968.html	67082	shout+to+the+lord_20221252.html
1.0	67086	shout+to+the+lord_20694968.html	67081	shout+to+the+lord_20221251.html
1.0	30094	gumbo_20604837.html	30093	gumbo_20108394.html
0.96	52183	might+just+take+your+life_20146239.html	52182	might+just+take+your+life_20038740.html
0.98	68962	someone+to+watch+over+me_20753988.html	68961	someone+to+watch+over+me_20700701.html
0.9633333333333334	83887	wont+get+fooled+again_20146855.html	83886	wont+get+fooled+again_20142818.html
0.9333333333333333	4003	amazing+grace_20268854.html	3991	amazing+grace_20143703.html
1.0	48335	look+for+the+silver+lining_20235916.html	48334	look+for+the+silver+lining+from+till+the+clouds+roll+by_20960766.html
0.8633333333333333	23355	everytime+we+say+goodbye_20482834.html	23007	every+time+we+say+goodbye_20516704.html
1.0	23355	everytime+we+say+goodbye_20482834.html	23008	every+time+we+say+goodbye_20633034.html
0.8966666666666666	40131	in+freedom_20819004.html	40130	in+freedom_20626596.html
0.9466666666666667	44436	king+of+the+world_20130095.html	44435	king+of+the+world_20072779.html
0.9166666666666666	23102	everybody+wants+to+rule+the+world_20665338.html	23101	everybody+wants+to+rule+the+world_20135573.html
0.9333333333333333	75117	the+little+drummer+boy_20064493.html	47459	little+drummer+boy_20665727.html
1.0	46946	lift_20807092.html	46945	lift_20626576.html
0.9033333333333333	75117	the+little+drummer+boy_20064493.html	47457	little+drummer+boy_20246515.html
0.9033333333333333	5212	april+in+paris_20055552.html	5210	april+in+paris_20018033.html
1.0	5212	april+in+paris_20055552.html	5211	april+in+paris_20045674.html
0.87	46153	let+it+rock_20247058.html	46152	let+it+rock_20118375.html
1.0	54155	my+girl_20267454.html	54147	my+girl_20005076.html
0.9466666666666667	62558	ready+to+go+home_20709586.html	62557	ready+to+go+home_20064172.html
0.9433333333333334	3140	all+my+life_21064249.html	3127	all+my+life_20007237.html
0.9666666666666667	75117	the+little+drummer+boy_20064493.html	47461	little+drummer+boy_20726047.html
0.9566666666666667	75117	the+little+drummer+boy_20064493.html	47460	little+drummer+boy_20690650.html
0.9566666666666667	75117	the+little+drummer+boy_20064493.html	47465	little+drummer+boy_20800851.html
0.9733333333333334	47575	little+queenie_20246776.html	47573	little+queenie_20115770.html
0.87	3717	alone+together_20835760.html	3714	alone+together_20242093.html
0.87	3717	alone+together_20835760.html	3716	alone+together_20816777.html
0.9133333333333333	75117	the+little+drummer+boy_20064493.html	47467	little+drummer+boy_20987287.html
1.0	54155	my+girl_20267454.html	54154	my+girl_20267426.html
1.0	40236	in+my+room_20666885.html	40234	in+my+room_20279863.html
1.0	54155	my+girl_20267454.html	54151	my+girl_20092513.html
1.0	54155	my+girl_20267454.html	54150	my+girl_20087283.html
1.0	54155	my+girl_20267454.html	54152	my+girl_20092799.html
1.0	57246	oddities_20180951.html	40736	insane+clown+posse+the+oddities_20648827.html
1.0	59608	parade_20057885.html	56332	nobody+loves+you_20057884.html
0.8866666666666667	70805	stop+in+the+name+of+love_21004076.html	70804	stop+in+the+name+of+love_20499419.html
1.0	29516	got+to+be+there_20028819.html	29515	got+to+be+there_10145984.html
0.8666666666666667	42254	ive+got+my+love+to+keep+me+warm_20692081.html	42252	ive+got+my+love+to+keep+me+warm_20529222.html
1.0	40236	in+my+room_20666885.html	40232	in+my+room_20013679.html
0.9033333333333333	35227	i+can+see+clearly+now_20171834.html	35226	i+can+see+clearly+now_20171833.html
1.0	40236	in+my+room_20666885.html	40231	in+my+room_10188129.html
0.86	11248	broken+dreams_20061620.html	10763	brave+mountaineers_20061546.html
1.0	19374	do+right+woman+do+right+man_21014812.html	19373	do+right+woman+do+right+man_20715760.html
1.0	59653	paranoid_10198393.html	59646	paraniod_20486638.html
0.9666666666666667	82857	white+christmas_20340450.html	82853	white+christmas_20144705.html
0.9866666666666667	37846	i+will+wait+for+you_21027995.html	37844	i+will+wait+for+you_20520079.html
0.93	38366	if+i+needed+you_20139964.html	38365	if+i+needed+you_20050063.html
0.96	75890	the+riot+of+your+time_20122689.html	48132	long+distance+love+affair_20515116.html
0.9666666666666667	82857	white+christmas_20340450.html	82850	white+christmas_20064273.html
0.8933333333333333	74446	the+first+noel_20772692.html	56406	noel_21095313.html
1.0	33884	honky+tonkin_20709582.html	33881	honky+tonkin_20064059.html
1.0	82857	white+christmas_20340450.html	82846	white+christmas_10163489.html
0.8733333333333333	3670	almost+like+being+in+love_20805915.html	3667	almost+like+being+in+love_20098008.html
1.0	33884	honky+tonkin_20709582.html	33882	honky+tonkin_20101235.html
0.9533333333333334	51235	massacre_20136626.html	51234	massacre_20068049.html
0.89	13825	cheek+to+cheek_20165772.html	13824	cheek+to+cheek_20068098.html
0.9433333333333334	13825	cheek+to+cheek_20165772.html	13823	cheek+to+cheek_20055299.html
0.8733333333333333	3670	almost+like+being+in+love_20805915.html	3669	almost+like+being+in+love_20240017.html
0.8833333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31169	have+yourself+a+merry+little+christmas_20077734.html
0.9333333333333333	69897	splendida+giornata_20292151.html	27164	generale_20667023.html
0.9733333333333334	2416	aint+no+sunshine_20092509.html	2412	aint+no+sunshine+when+shes+gone_20525681.html
0.92	62918	reina+danzante_20307814.html	17397	dancing+queen_20910687.html
1.0	1627	a+time+for+us_20320625.html	1626	a+time+for+us_20320612.html
0.8766666666666667	50370	magic+bus_20505270.html	50369	magic+bus_20146764.html
0.8666666666666667	27730	gigi_20823452.html	27729	gigi_20106806.html
0.9433333333333334	82524	when+you+wish+upon+a+star_20580262.html	82522	when+you+wish+upon+a+star_20339526.html
0.8966666666666666	5919	autumn+leaves_20321041.html	5916	autumn+leaves_20056477.html
0.8833333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31180	have+yourself+a+merry+little+christmas_20222064.html
0.97	31197	have+yourself+a+merry+little+christmas_20819495.html	31174	have+yourself+a+merry+little+christmas_20144693.html
0.97	31197	have+yourself+a+merry+little+christmas_20819495.html	31173	have+yourself+a+merry+little+christmas_20139592.html
0.97	31197	have+yourself+a+merry+little+christmas_20819495.html	31177	have+yourself+a+merry+little+christmas_20222057.html
1.0	82899	white+man+in+hammersmith+palais_20341130.html	82898	white+man+in+hammersmith+palais_20031763.html
0.8666666666666667	62918	reina+danzante_20307814.html	17394	dancing+queen+live_20818850.html
0.9166666666666666	76463	the+very+thought+of+you_20007906.html	76461	the+very+thought+of+you_10140732.html
0.8933333333333333	76463	the+very+thought+of+you_20007906.html	76462	the+very+thought+of+you_10179376.html
0.8566666666666667	48659	lost+highway_20145414.html	48658	lost+highway_20064153.html
0.92	54948	need+you+tonite_20067831.html	54947	need+you+tonight_20067857.html
1.0	37737	i+will+always+love+you_20343903.html	37732	i+will+always+love+you_20041739.html
0.9166666666666666	5724	at+last_20765603.html	5721	at+last_20320035.html
1.0	37737	i+will+always+love+you_20343903.html	37734	i+will+always+love+you_20144420.html
0.9733333333333334	14272	christmas+island_20767838.html	14271	christmas+island_20072105.html
1.0	33639	home+again_20215467.html	5832	aubade+and+i+am+not+like+other+birds+of+prey_20152729.html
1.0	21869	easy+to+love_21021275.html	21867	easy+to+love_20355129.html
1.0	16855	crying+time_20119057.html	16824	cryin+time_20177565.html
0.88	68634	soldier+of+fortune_20146324.html	68632	soldier+of+fortune_20038828.html
1.0	31724	heat+wave_20068100.html	31723	heat+wave_20045746.html
0.94	69397	soon_20528302.html	65679	seasons_20269308.html
0.8866666666666667	59248	over+you_20820352.html	59244	over+you_10244402.html
1.0	42030	its+raining+men_20756617.html	42029	its+raining+men_20756603.html
1.0	49284	love+maker_21036872.html	29482	got+me+goin_20972068.html
0.9766666666666667	31197	have+yourself+a+merry+little+christmas_20819495.html	31159	have+yourself+a+merry+litlle+christmas_20726965.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31158	have+yourself+a+merry+christmas_21052123.html
0.9566666666666667	74026	the+christmas+song_20756816.html	74020	the+christmas+song_20167355.html
1.0	74026	the+christmas+song_20756816.html	74022	the+christmas+song_20167376.html
0.9033333333333333	28464	go+where+you+wanna+go_20779205.html	28463	go+where+you+wanna+go_20087276.html
0.8866666666666667	74026	the+christmas+song_20756816.html	74025	the+christmas+song_20756621.html
0.94	54447	my+one+and+only+love_20729273.html	54446	my+one+and+only+love_20727312.html
0.88	29015	gonna+love+ya_10239259.html	29014	gonna+love+ya+till+the+cows+come+home_20955590.html
0.91	54447	my+one+and+only+love_20729273.html	54445	my+one+and+only+love_20268116.html
0.9733333333333334	6361	baby+were+really+in+love_20709590.html	6360	baby+were+really+in+love_20064081.html
0.88	8880	bigmouth+strikes+again_20484873.html	8878	bigmouth+strikes+again_10217986.html
1.0	25831	for+you+for+me+forevermore+feat+dick+haymes_20201366.html	25830	for+you+for+me+for+evermore_20045726.html
0.97	37587	i+want+to+know+what+love+is_20839331.html	37586	i+want+to+know+what+love+is_20741894.html
1.0	16090	count+your+blessings_20174318.html	16089	count+your+blessings+instead+of+sheep_20770633.html
0.8966666666666666	17971	dear+heart_20056274.html	17969	dear+heart_20007901.html
1.0	74026	the+christmas+song_20756816.html	74011	the+christmas+song_10188894.html
0.8866666666666667	74026	the+christmas+song_20756816.html	74013	the+christmas+song_20042238.html
0.9633333333333334	53773	murder+my+heart_21052140.html	53772	murder+my+heart_20876617.html
1.0	79274	tush_20314355.html	79273	tush_20149207.html
1.0	18134	deck+the+halls_20822639.html	18131	deck+the+halls_20755255.html
0.9166666666666666	47283	lips+on+an+angel_20746873.html	47278	lips+of+an+angel_20465430.html
0.8566666666666667	24479	feelin+alright_20196052.html	24477	feelin+alright_20131336.html
0.85	75417	the+nearness+of+you_20101720.html	54913	nearness+of+you+the_20835810.html
0.95	57134	o+little+town+of+bethlehem_21014468.html	57125	o+little+town+of+bethlehem_20246864.html
1.0	58550	only+forever_20822967.html	58549	only+forever_20278040.html
0.89	57134	o+little+town+of+bethlehem_21014468.html	57128	o+little+town+of+bethlehem_20703880.html
0.96	78094	to+sir+with+love_20666576.html	78092	to+sir+with+love_10171459.html
1.0	12723	cant+nobody+love+you_20845770.html	12722	cant+nobody+love+you_20173273.html
1.0	36607	i+live+for+you_20631798.html	36602	i+live+for+you+edited+finished+version+1969_20247948.html
0.95	46181	let+it+snow_20674331.html	46170	let+it+snow+let+it+snow+let+it+snow_20726044.html
1.0	47465	little+drummer+boy_20800851.html	47460	little+drummer+boy_20690650.html
0.95	46181	let+it+snow_20674331.html	46172	let+it+snow+let+it+snow+let+it+snow_20816521.html
0.9633333333333334	47465	little+drummer+boy_20800851.html	47461	little+drummer+boy_20726047.html
1.0	18134	deck+the+halls_20822639.html	18129	deck+the+halls_20679225.html
0.8933333333333333	18763	did+you+hear+the+mountains+tremble_20626655.html	18761	did+you+feel+the+mountains+tremble_20815605.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31193	have+yourself+a+merry+little+christmas_20770635.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31192	have+yourself+a+merry+little+christmas_20765880.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31191	have+yourself+a+merry+little+christmas_20756623.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31190	have+yourself+a+merry+little+christmas_20755082.html
0.9533333333333334	31197	have+yourself+a+merry+little+christmas_20819495.html	31184	have+yourself+a+merry+little+christmas_20620824.html
1.0	55635	night+nurse_20468038.html	55634	night+nurse_20125047.html
0.9133333333333333	31197	have+yourself+a+merry+little+christmas_20819495.html	31183	have+yourself+a+merry+little+christmas_20529227.html
0.8533333333333334	31197	have+yourself+a+merry+little+christmas_20819495.html	31189	have+yourself+a+merry+little+christmas_20726055.html
0.93	47465	little+drummer+boy_20800851.html	47459	little+drummer+boy_20665727.html
0.9466666666666667	47465	little+drummer+boy_20800851.html	47457	little+drummer+boy_20246515.html
1.0	60681	playing+possum_21043029.html	60680	playing+possum_20027358.html
0.91	57110	o+holy+night_20851791.html	57105	o+holy+night_20665981.html
0.9366666666666666	61050	porgy_20100520.html	61049	porgy_10033241.html
0.9266666666666666	46359	let+the+peace+of+god+reign_20803887.html	46358	let+the+peace+of+god+reign_20626578.html
1.0	2470	aint+that+a+lot+of+love_20693667.html	2468	aint+that+a+lot+of+love+feat+simply+red_20285251.html
1.0	2470	aint+that+a+lot+of+love_20693667.html	2469	aint+that+a+lot+of+love_20125089.html
1.0	25817	for+what+its+worth_20832259.html	25815	for+what+its+worth_20697340.html
1.0	6524	back+in+time_20795070.html	6523	back+in+time_20795063.html
1.0	25817	for+what+its+worth_20832259.html	25811	for+what+its+worth_10245595.html
0.9233333333333333	25817	for+what+its+worth_20832259.html	25810	for+what+its+worth+mr+soul_10190811.html
1.0	25817	for+what+its+worth_20832259.html	25813	for+what+its+worth_20472185.html
0.9	31197	have+yourself+a+merry+little+christmas_20819495.html	31196	have+yourself+a+merry+little+christmas_20810854.html
0.8966666666666666	31197	have+yourself+a+merry+little+christmas_20819495.html	31194	have+yourself+a+merry+little+christmas_20807191.html
1.0	7586	beautiful+boy_20422413.html	7584	beautiful+boys_20148540.html
0.9066666666666666	64686	sad+lisa_20088699.html	64685	sad+lisa_20028189.html
0.9533333333333334	24985	fire_20200148.html	24978	fire_10149616.html
1.0	24132	fantasy_20088418.html	24127	fantasy+bad+boy+fantasy_20964116.html
1.0	30426	hammer+to+fall_20606941.html	30425	hammer+to+fall_20112722.html
0.9766666666666667	41233	islands+in+the+stream_20766325.html	41230	islands+in+the+stream_20015653.html
1.0	18358	demons+eye_20531867.html	18357	demons+eye_20038705.html
0.9233333333333333	41233	islands+in+the+stream_20766325.html	41231	islands+in+the+stream_20041859.html
0.94	16395	crazy+love_20143093.html	16392	crazy+love_10239119.html
