Search Engine,Mean (R-Precision_Distrbution),min(R-Precision_Distrbution),1°_quartile (R-Precision_Distrbution),MEDIAN(R-Precision_Distrbution),3°_quartile (R-Precision_Distrbution),MAX(R-Precision_Distrbution)
SE_1,0.022563477735891527,0.0,0.0,0.0,0.0,0.6666666666666666
SE_2,0.2549430381326934,0.0,0.0,0.25,0.42857142857142855,1.0
SE_3,0.17932787501753014,0.0,0.0,0.14285714285714285,0.3333333333333333,1.0
