Union_Set_id,set_of_sets_ids,Estimated_union_size
0,"{0, 1}",862910454
1,"{0, 10}",770776786
2,"{1, 11, 21}",869651942
3,"{2, 12, 22, 32}",871899105
4,"{3, 13, 23, 33, 43}",880887755
5,"{4, 14, 24, 34, 44}",928078171
6,"{12, 22}",534824708
7,"{23, 33}",442691040
8,"{4, 34, 44}",723586370
9,"{4, 44}",629205539
